datetime,eps_y0,eps_y1,growth_pct,source
2026-07-25 16:29,11.63069,12.41773,6.77,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 20:18,11.63069,12.41773,6.77,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-25 22:04,11.63069,12.41773,6.77,yfinance 分析師共識 (抓取 2026-07-25)
2026-07-29 16:12,11.63069,12.41773,6.77,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-29 23:01,11.64339,12.40936,6.58,yfinance 分析師共識 (抓取 2026-07-29)
2026-07-30 09:28,11.64339,12.40936,6.58,yfinance 分析師共識 (抓取 2026-07-30)
2026-07-31 09:36,11.57685,12.41336,7.23,yfinance 分析師共識 (抓取 2026-07-31)
2026-07-31 21:16,11.57685,12.41336,7.23,yfinance 分析師共識 (抓取 2026-07-31)
2026-08-03 10:23,11.57685,12.41336,7.23,yfinance 分析師共識 (抓取 2026-08-03)
2026-08-04 09:32,11.57685,12.41336,7.23,yfinance 分析師共識 (抓取 2026-08-04)
2026-08-05 09:31,11.57685,12.41336,7.23,yfinance 分析師共識 (抓取 2026-08-05)
2026-08-06 10:23,11.64948,12.42854,6.69,yfinance 分析師共識 (抓取 2026-08-06)
2026-08-07 08:07,11.64948,12.42854,6.69,yfinance 分析師共識 (抓取 2026-08-07)
2026-08-20 15:54,11.6379,12.40569,6.6,yfinance 分析師共識 (抓取 2026-08-20)
2026-08-21 15:55,11.6379,12.40569,6.6,yfinance 分析師共識 (抓取 2026-08-21)
2026-08-24 16:05,11.6379,12.40569,6.6,yfinance 分析師共識 (抓取 2026-08-24)
2026-08-26 23:06,11.6379,12.40569,6.6,yfinance 分析師共識 (抓取 2026-08-26)
2026-08-28 02:18,11.6379,12.40569,6.6,yfinance 分析師共識 (抓取 2026-08-27)
2026-08-29 03:27,11.6379,12.40569,6.6,yfinance 分析師共識 (抓取 2026-08-28)
2026-08-31 23:05,11.6379,12.40569,6.6,yfinance 分析師共識 (抓取 2026-08-31)
2026-09-01 20:35,11.6379,12.40569,6.6,yfinance 分析師共識 (抓取 2026-09-01)
